"product","name","year","old","genres","War","Children","Thriller","Crime","Drama","Animation","Horror","Fantasy","IMAX","Sci-Fi","Western","Comedy","Action","Romance","Adventure","Musical","Documentary","Film-Noir","Mystery","description","image","length"
"10","American President, The","1995","1","Comedy|Drama|Romance","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but 'politics is perception,' and sparks fly anyway.","https://m.media-amazon.com/images/M/MV5BNjhkMmU0M2YtZDUwYi00OWE0LWI5NTktODBjNDc1M2ZlMjI4XkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_SX300.jpg","114 min"
"11","Dracula: Dead and Loving It","1995","1","Comedy|Horror","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","Mel Brooks' parody of the classic vampire story and its famous film adaptations.","https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_SX300.jpg","88 min"
"12","Balto","1995","1","Adventure|Animation|Children","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.","https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg","78 min"
"13","Nixon","1995","1","Drama","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.","https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg","192 min"
"14","Cutthroat Island","1995","1","Action|Adventure|Romance","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.","https://m.media-amazon.com/images/M/MV5BNjg0ZjIzMDYtNmUyNS00NzQxLWFhZGQtOGYzMzE0ZWEwM2UxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","124 min"
"15","Casino","1995","1","Crime|Drama","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","In Las Vegas, two best friends - a mafia enforcer and a casino executive - compete for a gambling empire and a fast-living, fast-loving socialite.","https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg","178 min"
"16","Sense and Sensibility","1995","1","Drama|Romance","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.","https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_SX300.jpg","136 min"
"17","Four Rooms","1995","1","Comedy","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Four interlocking tales that take place in a fading hotel on New Year's Eve.","https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","98 min"
"18","Ace Ventura: When Nature Calls","1995","1","Comedy","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.","https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","90 min"
"19","Money Train","1995","1","Action|Comedy|Crime|Drama|Thriller","0","0","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.","https://m.media-amazon.com/images/M/MV5BNjc3YjQwNGEtODI4Ny00MzgyLWEyMWYtNzMyMjk0MmI4YjY1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg","110 min"
"20","Get Shorty","1995","1","Comedy|Crime|Thriller","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.","https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_SX300.jpg","105 min"
"21","Copycat","1995","1","Crime|Drama|Horror|Mystery|Thriller","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.","https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg","123 min"
"22","Assassins","1995","1","Action|Crime|Thriller","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.","https://m.media-amazon.com/images/M/MV5BZWY5MGQ1NTQtNzkzNy00YTRkLTk2MjQtZTliNTJiNWZhMzk2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg","133 min"
"23","Powder","1995","1","Drama|Sci-Fi","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.","https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg","111 min"
"24","Leaving Las Vegas","1995","1","Drama|Romance","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg","111 min"
"25","Othello","1995","1","Drama","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.","https://m.media-amazon.com/images/M/MV5BNzVlMjhjYzctNjQ4My00OGMwLThmZTktODE4MWI3NzNkOWYyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg","123 min"
"26","Now and Then","1995","1","Children|Drama","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Four 12-year-old girls grow up together during an eventful small-town summer in 1970.","https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg","102 min"
"27","Persuasion","1995","1","Drama|Romance","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...","https://m.media-amazon.com/images/M/MV5BMTc5NzAwNDAyN15BMl5BanBnXkFtZTYwMjYzMDc5._V1_SX300.jpg","107 min"
"28","City of Lost Children, The","1995","1","Adventure|Drama|Fantasy|Mystery|Sci-Fi","0","0","0","0","1","0","0","1","0","1","0","0","0","0","1","0","0","0","1","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","https://m.media-amazon.com/images/M/MV5BYjBlOGFhODEtZThmMS00OTgwLTk0MjAtNDgxNWFhY2JhYTE1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg","112 min"
"29","Shanghai Triad","1995","1","Crime|Drama","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.","https://m.media-amazon.com/images/M/MV5BODgzNGQyNjEtYTU0My00ZGY2LTg4Y2MtMWNiY2QyZGE1MGRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg","108 min"
"30","Dangerous Minds","1995","1","Drama","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","An ex-Marine turned teacher struggles to connect with her students in an inner city school.","https://m.media-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","99 min"
"31","Twelve Monkeys","1995","1","Mystery|Sci-Fi|Thriller","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","https://m.media-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","129 min"
"32","Babe","1995","1","Children|Drama","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett.","https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg","91 min"
"33","Dead Man Walking","1995","1","Crime|Drama","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.","https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_SX300.jpg","122 min"
"34","It Takes Two","1995","1","Children|Comedy","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.","https://m.media-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_SX300.jpg","101 min"
"35","Clueless","1995","1","Comedy|Romance","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.","https://m.media-amazon.com/images/M/MV5BMzBmOGQ0NWItOTZjZC00ZDAxLTgyOTEtODJiYWQ2YWNiYWVjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg","97 min"
"36","Cry, the Beloved Country","1995","1","Drama","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","A South African preacher goes to search for his wayward son, who has committed a crime in the big city.","https://m.media-amazon.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1_SX300.jpg","106 min"
"37","Richard III","1995","1","Drama|War","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.","https://m.media-amazon.com/images/M/MV5BOWI3NjhhZDItNWQ2NS00Zjg0LWIzMjctNzY0MjRmNzkyYzVmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg","110 min"
"38","Dead Presidents","1995","1","Action|Crime|Drama","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.","https://m.media-amazon.com/images/M/MV5BNjdhZWEzMzEtMjNhZS00OThhLWFiZWUtM2EwMWU5MWE0MDA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","119 min"
"39","Restoration","1995","1","Drama","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.","https://m.media-amazon.com/images/M/MV5BZmQwODk5ZGItMDk5OS00MjU4LTgyYmUtYTBiMTFhYWM5MDY4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg","117 min"
"40","Mortal Kombat","1995","1","Action|Adventure|Fantasy","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.","https://m.media-amazon.com/images/M/MV5BNjY5NTEzZGItMGY3My00NzE4LThkYTUtYjJkNzk3MDBiMWE3XkEyXkFqcGdeQXVyNzg5MDE1MDk@._V1_SX300.jpg","101 min"
"41","To Die For","1995","1","Comedy|Drama|Thriller","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.","https://m.media-amazon.com/images/M/MV5BNGZhYzgwNzItNDljNC00MDM4LThiYjEtNDRhNmE5NDk2MTQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","106 min"
"42","How to Make an American Quilt","1995","1","Drama|Romance","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.","https://m.media-amazon.com/images/M/MV5BNGYwZmZkYWItNjdmMi00MjI2LThmOGYtMmI1NTQ0OWQ1YWIxXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_SX300.jpg","117 min"
"43","Seven","1995","1","Mystery|Thriller","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","127 min"
"44","Pocahontas","1995","1","Animation|Children|Drama|Musical|Romance","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.","https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg","81 min"
"45","When Night Is Falling","1995","1","Drama|Romance","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.","https://m.media-amazon.com/images/M/MV5BNGUxMDM1ODEtZjhjZi00NjVjLWEwNmUtNmZmOTQ1MzQxNmQ3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg","94 min"
"46","Usual Suspects, The","1995","1","Crime|Mystery|Thriller","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","106 min"
"47","Mighty Aphrodite","1995","1","Comedy|Drama|Romance","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.","https://m.media-amazon.com/images/M/MV5BMTZmNjJmODktMTI1Ni00OWU5LWI0YTctNjc0MzVkNDE3M2Y0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg","95 min"
"48","Lamerica","1994","1","Adventure|Drama","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets...","https://m.media-amazon.com/images/M/MV5BNjlmZmQ0ZGUtNTBjYy00ZTg3LWE1NmMtNDAyNDI2Zjc4ZDViXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_SX300.jpg","116 min"
"49","Big Green, The","1995","1","Children|Comedy","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.","https://m.media-amazon.com/images/M/MV5BNmY4NWVkM2UtY2FkZC00NWJiLTg5N2EtYzk4NjJkMGE0YzA3XkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg","100 min"
"50","Georgia","1995","1","Drama","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sadie is desperately looking up to her older sister Georgia who is a famous C&amp;W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.","https://m.media-amazon.com/images/M/MV5BZWJiNjMwYzMtZWU5Yi00NGI0LTg5NGYtZDY4MWRiYjEwYTYzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg","115 min"
"51","Home for the Holidays","1995","1","Drama","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.","https://m.media-amazon.com/images/M/MV5BMjc4Y2M1YTktNmY2Zi00NWRkLThmMWEtNGNlODQ5YTYwMDhlXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg","103 min"
"52","Postman, The","1994","1","Comedy|Drama|Romance","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.","https://m.media-amazon.com/images/M/MV5BZmVhNWIzOTMtYmVlZC00ZDVmLWIyODEtODEzOTAxYjAwMzVlXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_SX300.jpg","108 min"
"53","Indian in the Cupboard, The","1995","1","Adventure|Children|Fantasy","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick.","https://m.media-amazon.com/images/M/MV5BZWZlYmZiZGMtN2YyZC00MTdjLTllNjUtYWNhZDMwNDhhOTM1XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg","96 min"
"54","Eye for an Eye","1996","1","Drama|Thriller","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.","https://m.media-amazon.com/images/M/MV5BMDM4Mzc5ZjAtM2JjMi00NzU1LWEzM2MtNDQzNWI5MmRkM2I1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","101 min"
"55","Mr. Holland's Opus","1995","1","Drama","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","A frustrated composer finds fulfillment as a high school music teacher.","https://m.media-amazon.com/images/M/MV5BZDZhNDRlZjAtYzdhNy00ZjU1LWFlMDYtNjA5NjliM2Y5ZmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg","143 min"
"56","Don't Be a Menace to South Central While Drinking Your Juice in the Hood","1996","1","Comedy|Crime","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).","https://m.media-amazon.com/images/M/MV5BY2NmM2M2MWItNjdlMC00ZWI3LTkwODUtZDNkYWZjYjgzZjY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","89 min"
"57","Two if by Sea","1996","1","Comedy|Romance","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","A couple steals a Matisse painting on contract. They manage to escape the police. The sale takes place 4 days later on an island. Things don't go as planned.","https://m.media-amazon.com/images/M/MV5BY2YwZjVkMjItYjY4Yy00M2QyLTg0Y2MtYmFiNTgzMjNmMmQzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg","96 min"
"58","Bio-Dome","1996","1","Comedy","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.","https://m.media-amazon.com/images/M/MV5BYzY0ZjI0NTUtNDE4Yi00OGU2LWExZDMtNTY1MTM3ZWE3MzEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","88 min"
"59","Lawnmower Man 2: Beyond Cyberspace","1996","1","Action|Sci-Fi|Thriller","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","After the destruction of Virtual Space Industries at the end of the first film, Jobe is discovered in the rubble and is brought to the facilities of Jonathan Walker (Kevin Conway), a powerful corporate tycoon, where his face is re...","https://m.media-amazon.com/images/M/MV5BZGI0ZDZhOGUtZDZiOS00NWE2LThjNzQtYzI3ZGFjODUwZjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","93 min"
"60","French Twist","1995","1","Comedy|Romance","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.","https://m.media-amazon.com/images/M/MV5BZGQ2YjMwZWYtMmVjZS00NTZkLTg2OGUtMTNlZjQwNWUyMDFiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg","104 min"
